Title,Article,Category
"India’s overall exports in July this year estimated at 59.43 billion dollars, despite global headwinds
","India’s overall exports in July this year are estimated at 59.43 billion dollars, despite global headwinds. ",Business
"Gold up by Rs 95; Silver climbs Rs 160
",Gold prices today (14 August 2023) rose by 95 rupees at Multi Commodity Exchange for October contracts. ,Business
"Oil steadies as investors weigh concerns about China's faltering economic recovery
",Oil prices steadied today (14 August 2023) as investors weighed concerns about China's faltering economic recovery.,Business
"Sensex ends 79 points higher to settle at 65,402
","Key domestic benchmark indices ended flat today. The BSE Sensex ended 79 points, or 0.12 percent, higher to settle at 65,402. Similarly, the Nifty 50 at the National Stock Exchange, with a gain of mere six points, or 0.03 percent, finished at 19,435.",Business
"Rupee closes at Rs 82.94 against US dollar
","In the forex market, the rupee closed at 82 rupees and 94 paise against the US dollar.",Business
"Centre to E-auction 50 Lakh MT of wheat and 25 LMT of rice to tame inflation and enhance food availability
",The Centre has decided to release 50 Lakh Metric Tonnes of wheat and 25 LMT of rice through E-auctions under the Open Market Sale Scheme (Domestic) or OMSS (D) scheme.,Business
"Index of Industrial Production growth at 3.7 percent in June 2023 from 5.3 percent in May 2023
","The index of industrial production grew by 3.7 percent in June 2023 from 5.3 percent in May this year. As per the Ministry of Statistics and Programme Implementation data released today, manufacturing sector's output grew by 3.1 percent and Mining output rose by 7.6 percent for the reported peri",Business
"Asian stock markets end in red; European Markets also down in intra-day trade
",Asian stock markets today ended in red. China's Shanghai Composite index declined two percent and Hong Kong's Hang Seng index depreciated 0.9 percent.,Business
"Wall Street's main indices end in green as investors worry about U.S. economy's longer-term prospects
","Wall Street's main indices ended in green yesterday, due to milder-than-feared inflation data as investors worried about the U.S. economy's longer-term prospects.",Business
"Forex Market: Rupee closes at 82.84 against US dollar
","In the forex market, the rupee closed at 82 rupees and 84 paise against the US dollar.",Business
"US benchmark stocks finished lower in broad sell-off after downgrading of several lenders by credit rating agency Moody
",All three major US benchmark stocks finished lower yesterday in a broad sell-off after the downgrading of several lenders by credit rating agency Moody. ,Business
"Gold prices fall Rs 40, trades at Rs 59,380/ 10 gram
","Gold prices today fell 40 rupees at Multi Commodity Exchange for October contracts. The precious metal was trading at 59,380 rupees per 10 grams.",Business
"Asian stock markets traded mixed
",Asian stock markets today traded mixed. Japan's Nikkei-225 gained 0.4 percent and Singapore's Straits Times index rose marginally by 0.1 percent.,Business
"Oil prices surge to highest levels since mid-April after Saudi Arabia and Russia pledge to extend supply cuts
","Oil prices on Monday (07 August 2023) surged to their highest levels since mid-April, after top producers Saudi Arabia and Russia pledged to extend supply cuts through September, further tightening supplies.",Business
"Global crude oil prices rise for 6th straight week, after top producers Saudi Arabia & Russia extended supply cuts through September, adding to undersupply concerns
","Global crude oil prices rose for the sixth straight week, after top producers Saudi Arabia and Russia extended supply cuts through September, adding to undersupply concerns.",Business
"Centre clarifies there is no ban on import of IT Hardware like tablets and laptops after obtaining valid license
",The Centre has clarified that there is no ban on the import of IT Hardware like tablets and laptops as such devices can be imported after obtaining a valid license by companies or traders. ,Business
"Oil slid further after dropping sharply from more than three-month highs in previous session
",Oil slid further today after dropping sharply from more than three-month highs in the previous session.,Business
"Rupee closes at 82.73 against the US dollar  
","In the forex market, the rupee closed at 82 rupees and 73 paise against the US dollar.",Business
"Asian stocks lost except China's Shanghai Composite which gains 0.6 percent
","Asian stocks lost except China's Shanghai Composite which gained 0.6 percent. Japan's Nikkei-225 declined 1.7 percent, Singapore's Straits Times index fell 0.6 percent, Hong Kong's Hang Seng index lost 0.5 percent and South Korea's Kospi slipped 0.4 percent.",Business
"US stocks slump after Fitch's downgrade of US sovereign credit rating
",US stocks slumped yesterday after Fitch's downgrade of the United States' sovereign credit rating.,Business
"Gold prices fall Rs 40, trades at Rs 59,088/ 10 gram
","Gold prices today fell a meagre 40 rupees at Multi Commodity Exchange for August contracts. The precious metal was trading at 59,088 rupees per 10 gram. Silver declined 710 rupees to trade at 72,250 rupees per kilogram for September Contracts.",Business
"Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming
",Finance Minister Nirmala Sitharaman today said that 28 percent GST on casinos and online gaming will be levied on face value. ,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>","<p><span id=""ctl00_ContentPlaceHolder1_AddUserControl_RepterDetails_ctl21_lblComment"">Finance Minister Nirmala Sitharaman today said that 28 percent GST on casinos and online gaming will be levied on face value. </span></p>",Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>","<p><span id=""ctl00_ContentPlaceHolder1_AddUserControl_RepterDetails_ctl21_lblComment"">Finance Minister Nirmala Sitharaman today said that 28 percent GST on casinos and online gaming will be levied on face value. </span></p>",Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>","<p><span id=""ctl00_ContentPlaceHolder1_AddUserControl_RepterDetails_ctl21_lblComment"">Finance Minister Nirmala Sitharaman today said that 28 percent GST on casinos and online gaming will be levied on face value. </span></p>",Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>","<p><span id=""ctl00_ContentPlaceHolder1_AddUserControl_RepterDetails_ctl21_lblComment"">Finance Minister Nirmala Sitharaman today said that 28 percent GST on casinos and online gaming will be levied on face value. </span></p>",Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",10 Business Books That Will Change The Way You Look At Business,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",Rakesh Jhunjhunwala: 10 Lesser Known Facts About India's Big Bull,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",10 Famous Brands That You Thought Were INDIAN But ...,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",Top 7 Ways To Break Your Phone Addiction,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",10 Richest YouTubers In The World 2023,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",Top 10 Things You Must Know About DigiYatra App,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",10 Richest Indian YouTubers And Their Net Worth,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",20 Habits That Can Change Your Life in 6 Months,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>","Top 10 Most Profitable Indian Companies in Q1, FY24",Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",Top 10 Quotes That Will Help You Stay Calm,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",Top 10 Countries With Highest Vegetable Consumption,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",Top 10 Largest Tea Producing States in India,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",Top 10 Railway Journeys Linked to India's Past,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",10 Most Visited Websites in the US in July 2023,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",10 Traditional Sarees Of India That Are Famous Around The World,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",Amrit Bharat Station Scheme: 13 Railway Stations To Be Redeveloped In Karnataka,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",10 Powerful Biz Women And Their Qualifications,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",10 Most Inflation-Ridden Countries In The World,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",10 Oldest Companies Of The World That Are Still Working,Business
"<h6><a href=""News?title=Finance-Minister-Nirmala-Sitharaman-says-that-28-%25-GST-increased-on-casinos-and-online-gaming&amp;id=465350"">Finance Minister Nirmala Sitharaman says that 28 % GST increased on casinos and online gaming</a>
</h6>",All About Bengaluru-Hyderabad Vande Bharat Express,Business
"In the coming two years the government will ensure homes to the needy at a cost of Rs 15,000 crore from its own funds,"" Soren said in his address.","

















 Business Manmath Nayak  August 15, 2023 1:17 PM IST ",Business
