Title,Article,Category
"Govt mulls extending tenures of PSB Chairmans, MDs: Official","The government is mulling the tenure extension of public sector bank Chairmans, a Finance Ministry official said. The official added that the tenure extension of Managing Directors of public sector banks from age 60 to 62 is also being discussed. The discussions are still fluid and there has been no finalisation yet, the same official noted.
",Business
SEBI has certain apprehensions about NSE IPO: CEO Chauhan,"National Stock Exchange of India (NSE) CEO Ashish Chauhan, while talking about NSE's IPO plans, said, ""SEBI has certain apprehensions about us meeting its expectations."" ""SEBI needs to have confidence in our processes, technology and intentions,"" he stated.  ""As and when SEBI becomes more comfortable, they will tell us to apply [for IPO] and we will go ahead,"" he added.",Business
ED attaches ₹5.87 cr assets in PMLA case linked to online betting ,"Enforcement Directorate (ED) has attached ₹5.87 crore worth of assets in Prevention of Money Laundering Act (PMLA) case against individuals and companies accused of operating illegal online betting and gambling apps. Bengaluru Police lodged an FIR initially registered by the Directorate General GST Intelligence alleging involvement of companies in online gambling, betting and suspicious illegal activities.",Business
"India isn't protectionist, but respects fair trade rules: Goyal","Commerce Minister Piyush Goyal said India is ""certainly not a protectionist country but [it] respects that there have to be transparent rules of trade"". ""India is most transparent in its trading practices [and] most fair in its openness,"" Goyal stated. He added that India now retaliates if Indian businesses are not given a level playing field in any country.",Business
"NCCF buys 2,826 tonnes onions from farmers for buffer stock","The National Cooperative Consumers' Federation of India (NCCF) on Saturday said it has procured 2,826 tonnes of onions from farmers for buffer stock in the last four days. The purchase was made at ₹2,410 per quintal, NCCF stated. The government recently raised the onion buffer stock target from 3 lakh metric tonnes to 5 lakh metric tonnes for this year.",Business
India is the future: BP CEO Bernard Looney ,"""India is the future,"" British energy major BP CEO Bernard Looney said as he lauded the country for Chandrayaan-3 mission. ""We watched it back in London. Everyone around the world, I think, is excited about the country,"" he said. BP is also working with Reliance Industries Limited to get electric vehicle charging infrastructure in place for India, Looney said.

",Business
No silver bullet for green transition: Tata Steel CEO TV Narendran,"There is ""no silver bullet"" for green transition in hard-to-abate sectors, including steel, Tata Steel CEO & MD TV Narendran said. He added that it's a complex challenge and needs government support. ""You need to find a solution and there is no silver bullet for that…India is alone going to add 100-150 million tonne steel capacity every decade,"" he said.
",Business
Replace extreme poverty line with empowerment line: McKinsey,"A McKinsey Global Institute report stated that the global economy will need a $37-trillion increase in spending power cumulatively by 2030 if people are to be empowered. It added, ""The $2.15 per day extreme poverty line needs a complementary benchmark to gauge progress beyond that point...Empowerment line starts at $12 per day in purchasing power parity terms globally.""
",Business
India free to join world's largest trade bloc RCEP: China minister,"China's Vice Commerce Minister Wang Shouwen said the door of the Regional Comprehensive Economic Partnership (RCEP), the world's largest trade bloc, will be ""always open"" for India. He added that the bilateral trade between China and India is growing ""very fast"". Responding to this, Commerce Minister Piyush Goyal said the bilateral trade is ""largely skewed in favour of China"".",Business
"FM Sitharaman meets UK Trade Secretary; discusses investment, FTA","Finance Minister Nirmala Sitharaman met UK Trade Secretary of State Kemi Badenoch and discussed bilateral investment and free trade agreement (FTA) on Saturday. ""FM Sitharaman and Secretary Badenoch briefly exchanged views and also reaffirmed the commitment by both sides for taking the ongoing negotiations on India-UK FTA and India-UK BIT to an early conclusion,"" the Finance Ministry tweeted.",Business
