Title,Article,Category
Adah Sharma buys Sushant Singh's flat where he lived before his death: Reports,"Actress Adah Sharma has reportedly bought the Mont Blanc flat in Mumbai's Bandra, in which late actor Sushant Singh Rajput used to stay before his death in 2020. Sushant was reportedly paying ₹4.5 lakh per month for the two-storey property and had rented it in December 2019. In 2021, it was reported that his sea-facing flat was up for rent.",Entertainment
"It may cross the ₹1,000-crore mark: Director Anil on 'Gadar 2'  ","'Gadar 2' director Anil Sharma said that the box office numbers of the film are real and not fake. He added that the film, which has crossed ₹400 crore mark, may end up collecting more than ₹1,000 crore. ""We're not looking at numbers alone, we're trying to make...place in people's hearts...People are watching...loving it, that's enough for us,"" said Anil.  ",Entertainment
Inspired & blessed: SRK on reuniting with Big B after 17 years  ,"Shah Rukh Khan, taking to X, reacted to a picture of him and Amitabh Bachchan from the shooting of their new project. ""It was so much fun to work with @SrBachchan...Came back from...shoot inspired and blessed. And...to let you know, he beat me in the run,"" he wrote. Shah Rukh and Amitabh are reuniting after a gap of 17 years. ",Entertainment
"Fan asks if Salman changed his look to promote Jawan, SRK reacts ","Shah Rukh Khan responded to a fan who asked if Salman Khan changed his look to promote 'Jawan'. ""Salman's latest look seems to be a promotion for Jawan, is this true?"" the fan wrote. Shah Rukh responded, ""Salman doesn't need to look differently to show love for me...he loves me from his heart...that's all."" 
",Entertainment
Arjun Kapoor comments on Malaika Arora's post amid breakup rumours,"Amid breakup rumours, Arjun Kapoor has commented on Malaika Arora's latest Instagram post. Malaika had shared a video with her pet dog Casper on the occasion of International Dog Day 2023. Minutes after the post was shared, Arjun commented, ""The real star of your life"" and ""handsome boy"". Earlier, reports said Malaika has unfollowed Arjun's family members on Instagram.",Entertainment
I have no words: Nambi on 'Rocketry...' winning National Award,"Former ISRO scientist Nambi Narayanan reacted to 'Rocketry: The Nambi Effect' winning the National Award for Best Feature Film. He said, ""I'm really happy and I should say...I have no words to express my happiness because I don't think this occasion occurs in everyone's life...it is a rare occasion."" The R Madhavan directorial was based on Nambi's life.
",Entertainment
"Didn't speak to father for 8 yrs, was fighting for my stand: Vijay","Vijay Varma recalled his ""complex and dynamic relationship"" with his father in an interview with Film Companion. He said a conflict started between him and his father when the latter wanted him to join his business. ""I wanted to do anything...but work with him...he was...strong about his stand...I was fighting...for [mine]...I ran away...and...there was 7-8 years...of no talking,"" Vijay said.",Entertainment
There's fine line between cracking jokes & hurting someone: Ananya,"When asked about being careful with humour in her film 'Dream Girl 2', actress Ananya Panday said, ""There's a fine line between cracking jokes and hurting someone."" Ananya further said she and Ayushmann Khurrana were aware enough to not make fun of someone and hurt the sentiments of people. ""We made sure that it's healthy entertainment,"" Ayushmann said.",Entertainment
"Karan wanted Sridevi, Janhvi in Shiddat which is now Kalank: Boney","Producer Boney Kapoor, in an interview, revealed that Karan Johar wanted to cast Sridevi and Janhvi Kapoor in his film 'Shiddat', which later released as 'Kalank'. Boney also revealed that Karan wanted Janhvi to play the lead role, which was eventually played by Alia Bhatt, and Sridevi's role was played by Madhuri Dixit. Sridevi passed away in 2018 aged 54.",Entertainment
Police deployed outside SRK's Mannat amid protest against his online gaming ad,Police personnel were deployed outside Shah Rukh Khan's residence Mannat in Mumbai on Saturday afternoon after several people gathered to protest against the actor for endorsing online gaming apps. The protestors were of the opinion that these apps misguide and corrupt the youth and that celebrities should not advocate them. The protestors were cleared from the area by the police.,Entertainment
