Title,Article,Category
"Domestic equity benchmarks decline more than 1 per cent this week
","The domestic equity benchmarks, in the business week ended yesterday, declined more than one per cent.",Business
"Gold price rise by Rs. 155 rupees at Multi Commodity Exchange for April contracts
",Gold price today rose by 155 rupees at Multi Commodity Exchange for April contracts. ,Business
"Forex market: Domestic Unit closes at Rs. 82.02 against US dollar
","In the forex market, the rupee today appreciated four paise against the US dollar. ",Business
"Oil falls for a 4th session today heading for its biggest weekly loss in 5 weeks
","Oil fell for a fourth session today, heading for its biggest weekly loss in five week",Business
"US Market: Wall Street's three major stock indices close lower, with bank stocks creating biggest drag
","Wall Street's three major stock indices closed lower yesterday, with bank stocks creating the biggest drag. ",Business
"Asian & European stocks fall after sell-off in US Bank shares 
",Asian and European stocks fell today after sell-off in US Bank shares. ,Business
"Time for Indian products to be the best in quality in the world: Piyush Goyal
","The Union Minister for Commerce and Industry Piyush Goyal exhorted the industry to bring proposals for joint research projects, come up with new innovations and capture new markets. ",Business
"Gold price rises marginally by Rs 89 at Multi Commodity Exchange for April contracts
","Gold price on Thursday rose marginally by 89 rupees at Multi Commodity Exchange for April contracts. The precious metal was trading at around 55,000 rupees per 10 gram. ",Business
"Govt says trade in crypto currency to be covered under India's money laundering laws
","The government has said that Prevention of Money Laundering Act, 2002 will apply to trade in cryptocurrencies or virtual assets.",Business
"Centre directs NAFED, NCCF for immediate intervention in market for purchase of red onion in wake of reports of falling prices of onion
",Centre has directed National Agricultural Cooperative Marketing Federation of India Limited (NAFED) and National Consumers Cooperative Federation of India Limited (NCCF) for immediate intervention in the market for purchase of red onion in the wake of reports of falling prices of onion.,Business
"BSE & UN Women India launches a new programme, 'FinEMPOWER', at Bombay Stock Exchange 
","BSE and UN Women India launched a new programme, 'FinEMPOWER', at the Bombay Stock Exchange (BSE) today.",Business
"Asian markets end mostly higher; South Korea's Kospi index advances 1.2%
","Asian markets ended mostly higher. So, Japan's Nikkei-225 index climbed 1.1 per cent; Hong Kong's Hang Seng index edged up 0.2 per cent; South Korea's Kospi index advanced 1.2 per cent and Singapore's Straits Times index rose 0.4 per cent, But China's Shanghai Composite index she",Business
"Foreign investors pump more than Rs 9,400 crore into the Indian capital markets in March, so far
","Foreign investors pumped more than Rs 9,400 crore into the Indian capital markets this month, so far. Foreign Portfolio investors (FPIs) invested Rs 8,939 crore in the equities market, Rs 380 crore in the debt market and Rs 156 crore in the Voluntary Retention Route of the debt market.",Business
"Piyush Goyal expresses confidence that India's merchandise and services exports would touch 750 billion dollar this year
",Commerce and Industry Piyush Goyal on Saturday expressed confidence that the country's merchandise and services exports would touch 750 billion dollar this year. ,Business
"US share markets log gains amid volatile week
",The US share markets logged gains on Friday amid volatile week.,Business
"Gold price rise marginally by Rs 75 at Multi Commodity Exchange for April contracts
",Gold price today rose marginally by Rs 75 at Multi Commodity Exchange for April contracts. ,Business
