Title,Article,Category
" Construction workers to get benefits under welfare schemes through DBT, says Delhi LG","The benefits under the schemes would be provided by direct benefit transfer (DBT) after Aadhar-based authentication of the beneficiaries registered with Delhi Building and Other Construction Workers' Welfare Board (DBOCWWB), they said.",Politics
" Cultural heritage both pillar of past and pathway to future, says Reddy at G20 ministerial meeting","Addressing ministers and other delegates at the G20 Culture Ministers' Meeting in Varanasi, he also said that the discussions and deliberations that have taken place as a part of the Culture Working Group meeting and the Global Thematic Webinars have been ""remarkable and inspiring"".",Politics
 Rajasthan government sanctions Rs 265 crore for 15 water projects,"With this approval, 15 works related to the Rajasthan Water Sector Livelihood Improvement Project will be carried out, along with various announcements made in the budget.",Politics
" Excitement generated by Chandrayaan-3 success must be channelised to power scientific temper, says PM","Addressing a function organised at the airport here by the BJP to celebrate the success of Chandrayaan-3 and welcome the prime minister on his return from his two-nation tour, Modi said that at the BRICS Summit in South Africa and during his visit to Greece, he received several congratulatory messages over the success of the lunar mission.",Politics
" President's rule can be imposed in Punjab, Governor warns CM Mann",Punjab Governor Purohit said not furnishing the details sought by him would be plain dereliction of the duty which is imposed on the chief minister under Article 167(b) — a provision in the Constitution that allows the governor to call for information.,Politics
 PM-EAC's Shamika Ravi rejects Moody's remarks on Manipur tensions,"Speaking at Moneycontrol's Policy Next summit, Ravi said the ""number of riots in India have been falling. Though Manipur is not an isolated issue, it is a structural issue related to aspects like land"".",Politics
" President's rule can be imposed in Punjab, Governor warns CM Mann","In his latest communication to Mann, Governor Purohit indicated he was upset over not getting any reply from him on his previous, and warned him that he could send a report to the President on ""failure of constitutional mechanism.""",Politics
" Political space finally opens for Rajini in TN, but he’s squandering it","AIADMK’s decline in Tamil Nadu follows perceptions that it is remote controlled by BJP.  This offers an opportunity for Rajinikanth, fresh off the massive hit film Jailer. But he is missing a trick if he draws close to BJP, as its political positioning to AIADMK’s right has limited traction in TN",Politics
 Live: Modi first Indian PM to visit Greece in 40 years | Briefing with Greek PM in Athens,PM Modi and Prime Minister of Greece Kyriakos Mitsotakis address joint press meet in Athens. Watch to know more!,Politics
 West Bengal govt should implement AB-PMJAY at ground level for benefit of people: Mansukh Mandaviya,"The central government under the leadership of Prime Minister Narendra Modi is committed to providing quality healthcare services to all citizens of the state, Mandaviya said during his visit to West Bengal.",Politics
