Title,Article,Category
Sharad Pawar using guerrilla tactics to fight Ajit faction: Raut,"Shiv Sena (UBT) MP Sanjay Raut said that NCP chief Sharad Pawar is using guerrilla warfare tactics to fight the Ajit Pawar-led NCP faction of legislators who joined the NDA government. This comes after Sharad Pawar said there is no split in his party. Shiv Sena has chosen to fight its war on the battlefield, Raut added.",Politics
ISRO is now BJP's 2024 campaign tool: Mahua Moitra,"After PM Narendra Modi met scientists at ISRO, TMC MP Mahua Moitra said, ""ISRO is now BJP's 2024 [Lok Sabha] campaign tool. Every mission will be used to whip up nationalistic frenzy before elections."" ""Bhakt and troll army working [24x7] to package decades of Indian scientific research as Modi Hai Toh Mumkin Hai magic,"" she added.",Politics
Hatred spread by BJP-RSS reached schools: Maurya on UP slap video,"Reacting to the video showing a teacher making students slap a student in Uttar Pradesh, Samajwadi Party leader Swami Prasad Maurya said, ""The hatred being spread by RSS and BJP today has even reached schools."" ""[The incident] is highly condemnable and I demand that the strictest action be taken against the teacher,"" he added.",Politics
Preparations on to go to Sun and Venus: Anurag Thakur,"After Chandrayaan-3's success, Union Minister Anurag Thakur said that preparations are underway to go to the Sun and Venus. ""The way PM was welcomed after his BRICS Summit and the way he motivated our scientists, I can say it was first Mangalyaan, then Chandrayaan [and] now preparations are underway to go to Sun and Venus also,"" he said.",Politics
Does accused Muzaffarnagar teacher have links with BJP: Gokhale,"After FIR was filed against the teacher who allegedly asked school students to slap their Muslim classmate in Muzaffarnagar, TMC MP Saket Gokhale asked if the ""accused has links with BJP as she has been booked under non-cognizable offences"". He added, ""It's simple section of mischief. Is a teacher encouraging students to assault a fellow Muslim child a mere mischief?""",Politics
Rajasthan CM Ashok Gehlot is very scared of red diary: Amit Shah,"While addressing a gathering in Rajasthan's Gangapur on Saturday, Union Home Minister Amit Shah said that Rajasthan Chief Minister Ashok Gehlot is very scared of a red diary. Shah alleged that the diary contained details of corruption and black deeds related to Gehlot-led Rajasthan government. ""[If] you (Gehlot) have...a little shame then resign on the red diary issue,"" Shah added.",Politics
Is this what PM's New India means: Derek on UP teacher's video,"Reacting to a viral video showing a teacher in UP’s Muzaffarnagar allegedly asking school students to slap a Muslim classmate, TMC MP Derek O’Brien asked if this is what PM Modi's ""New India"" means. He demanded strict action against ""such brutality"". He added, ""The brazen display of inhumanity at a school…is proof of how deep-rooted hatred is in BJP-ruled states.""",Politics
Nation hangs head in shame: Varun Gandhi on UP boy slap video,"After a video showing a teacher making students slap a Muslim boy surfaced, BJP MP Varun Gandhi said the incident has ""made the whole nation hang its head in shame"". He added that a teacher is a ""gardener"" who not only builds a personality but the nation. ""So, the expectations from a teacher are high, beyond dirty politics,"" he said.",Politics
63 people booked coach: Railways official on Madurai train mishap,"As ten people were killed after a fire broke out in a parked tourist train’s coach near Madurai Railway Station, a senior Railways official claimed that a total of 63 people had booked the coach. He further said that the incident took place because of an illegal cylinder. According to reports, the incident happened in the early hours of Saturday.",Politics
"Sonia Gandhi takes boat ride in Srinagar lake, to join Rahul","Congress leader Sonia Gandhi took a boat ride in Nigeen Lake in Srinagar on Saturday. She will join her son, Congress MP Rahul Gandhi, who is staying in a houseboat on the lake. ""It is a completely personal, family visit and no political engagement or meeting with any party leaders will happen,"" a Congress leader said.",Politics
Don't test Punjabis' patience: CM Mann on Guv's Prez rule warning,"Punjab CM Bhagwant Mann hit out at Punjab Governor Banwarilal Purohit after the latter asked him to respond to his letters and warned him of President's rule in the state. ""Don't...test...patience of Punjabis. [Purohit] is deliberately threatening Punjabis by saying that he'll recommend President's rule,"" Mann said. Notably, Purohit had sought a report from Mann on drugs' sale in Punjab.",Politics
Jail is the only place for UP teacher: INC on Muzaffarnagar video,"Congress spokesperson Supriya Shrinate criticised the UP teacher who allegedly asked students to slap their Muslim classmate in a school in Muzaffarnagar. Shrinate urged UP CM Yogi Adityanath to launch an investigation into the matter and said that the ""only place for the teacher is jail"". She added, ""How far has the hatred and poison of bigotry spread?""",Politics
Show in G20 meet: SP on clip of kids being told to slap Muslim boy,"Samajwadi Party chief Akhilesh Yadav has criticised the BJP after video of a teacher in UP's Muzaffarnagar asking students to slap a Muslim boy surfaced online. Akhilesh asked the BJP government to show the video of the incident in the G20 summit and prove that their hate agenda is correct. ""Such a teacher is...blot on the teaching community,"" Akhilesh said.",Politics
What happened to CM's bulldozers: Owaisi on UP teacher's video,"Reacting to a viral video showing a teacher in UP’s Muzaffarnagar allegedly asking school students to slap a Muslim classmate, AIMIM chief Asaduddin Owaisi said that it’s more likely that teacher will get some government award rather than being punished. He questioned CM Yogi Adityanath for not taking his ""bulldozer action"". He added, ""People have no faith in due process.""",Politics
Requested K'taka CM Siddaramaiah not to take trouble of coming early to receive me: PM,"PM Narendra Modi said he requested Karnataka CM Siddaramaiah, Deputy CM DK Shivakumar and Governor Thaawarchand Gehlot to not take the trouble of receiving him in Bengaluru early as he wasn't sure of his arrival time. He said he told them to follow protocol when he would come for a formal visit. Earlier, Congress accused him of breaking the protocol.",Politics
Even Hitler will get ashamed: Sanjay Singh on Punjab Guv's warning,"After Punjab Governor Banwarilal Purohit warned CM Bhagwant Mann’s government of a possible President’s rule in the state, AAP MP Sanjay Singh said that even Adolf Hitler will be ashamed to see this dictatorship. He further said, ""Manipur is burning, the President's rule will not be imposed. No Presidesnt’s rule in Mewat, where violence took place.""",Politics
Don't share video of students: NCPCR on Muzaffarnagar school row,"The chief of the National Commission for Protection of Child Rights, Priyank Kanoongo, has requested everyone not to share the video of a Muslim school student who was seen getting slapped by fellow classmates on the instructions of the class teacher in Muzaffarnagar. Priyank said, ""Do not become a part of the crime by revealing the identity of the children.""",Politics
3 BJP MLAs sworn in as ministers in Madhya Pradesh before state election,"Three BJP MLAs, namely Gaurishankar Bisen, Rajendra Shukla and Rahul Lodhi were inducted into Madhya Pradesh CM Shivraj Singh Chouhan's cabinet on Saturday. The cabinet expansion happened ahead of state polls. ""Will do as much as possible in Bundelkhand for the trust party has shown in us. One and a half months are enough to perform well,"" Lodhi said.",Politics
Need to speak against hatred unitedly: Priyanka on teacher's video,"After a video went viral showing a teacher in UP’s Muzaffarnagar allegedly asking school students to slap a Muslim classmate, Congress leader Priyanka Gandhi said that the country needs to be united to speak against the hatred. She further said, ""What kind of classroom and what kind of society do we want to give to our future generations?""",Politics
You took 'Make in India' to moon: PM Modi lauds ISRO scientists,"PM Narendra Modi lauded the ISRO scientists on the successful Chandrayaan-3 moon mission, saying that the scientists took 'Make in India' to the moon. He announced that India will celebrate August 23 as 'National Space Day'. He said, ""What you all have achieved is one of the most inspiring moments of this era...such occasions are very rare.""",Politics
India showed its capability by hoisting tricolour on moon: PM Modi,"Reacting to the successful Chandrayaan-3 mission, PM Narendra Modi said that India has shown its capability by hoisting the tricolour on the moon. While addressing the Indian community in Athens, PM Modi said, ""It is the month of Sawan, in a way, it’s the month of Shivji, and in this holy month, the country has yet again achieved something new.""",Politics
Hatred: Rahul on clip of UP teacher asking kids to slap Muslim boy,"Congress leader Rahul Gandhi reacted to the video wherein a female teacher was allegedly seen asking Hindu students to slap a Muslim classmate in Uttar Pradesh's Muzaffarnagar. Rahul said, ""Sowing...poison of discrimination in the minds of innocent children [and] turning a holy place like school into a marketplace of hatred."" ""This is the same kerosene [which's] spread by...BJP,"" he added.",Politics
Madhya Pradesh is 'ghotala' & 'bhrashtachar' pradesh: Kamal Nath,"Former Madhya Pradesh CM Kamal Nath criticised CM Shivraj Singh Chouhan, saying that the state has become 'ghotala' (scam) pradesh and 'bhrashtachar' (corrupt) pradesh. He further said, ""Give money and take work, such a system of corruption has been made. If you (people) are not victims of corruption, then you are witnesses to corruption.""",Politics
"In rape with murder cases, UP is first while Raj is 10th: Gehlot","Addressing a press conference on Friday, Rajasthan CM Ashok Gehlot said, ""In cases of rape with murder, Rajasthan is on the tenth position, whereas Uttar Pradesh is first."" Assam and Madhya Pradesh are second and third respectively, he added. He further said that the Opposition (BJP) leaders and Union Ministers are spreading rumours to defame Rajasthan.",Politics
SC rejects Kejriwal's plea against Guj HC order in defamation case,"As Gujarat High Court refused an interim stay on defamation proceedings against Delhi CM Arvind Kejriwal over his remarks on PM Narendra Modi's degree, the AAP chief had moved the Supreme Court. However, the top court on Friday dismissed Kejriwal's plea noting that the matter will be heard by the high court on August 29.",Politics
