Title,Article,Category
"Babar Azam makes blunder at toss, says Saud Shakeel is making ODI debut; video goes viral","Pakistan captain Babar Azam made a blunder at the toss ahead of the third ODI against Afghanistan, with a video of the same going viral on social media. During the toss Babar stated that Saud Shakeel is making his ODI debut. However, Saud had made his ODI debut in 2021, with Babar giving him his debut cap then.",Sports
18-yr-old Praggnanandhaa shares pic of mother flaunting his Chess WC silver medal,"India's 18-year-old Grandmaster R Praggnanandhaa took to X to share a picture of his mother flaunting his silver medal he won at Chess World Cup 2023. He wrote, ""Extremely elated...Grateful to receive the love, support and prayers of each one of you! Thank you everyone for the wishes...With my ever supportive, happiest and proud Amma.""",Sports
Rinku Singh shares pic of his father and mother wearing India jersey on his return,"Rinku Singh, who recently made his Team India debut, took to Instagram to share a picture of his father and mother wearing Team India jersey on his return from Ireland. ""Because of whom it all started. From where it all started,"" he wrote. Rinku scored 38 runs off 21 deliveries in the only T20I innings he batted against Ireland.",Sports
"Virat wasn't very talented, saw flaw in batting post-U19 WC: Wasim","Former India batter Wasim Jaffer opined that Virat Kohli wasn't ""very talented"" and had multiple flaws in his batting initially. ""When I saw him in 2008, after the U19 World Cup, I felt he had a lot of flaws in his batting,"" he said. However, Virat understood that and changed himself in two years, Wasim further said.",Sports
"It's intriguing rivalry, whole world watches it: Azam on Ind-Pak ","Pakistan captain Babar Azam opened up about the upcoming clash between his team and India at the Asia Cup 2023. He called it an ""intriguing rivalry"" and said, ""Whole world watches and enjoys it...Good quality cricket is played in India-Pakistan games...it's also very competitive."" The Pakistan-India match will be held on September 2 at Sri Lanka's Pallekele International Cricket Stadium. 
 ",Sports
Spain football chief Rubiales suspended by FIFA for forcibly kissing female player on mouth,"Spanish FA President Luis Rubiales has been provisionally suspended by FIFA for forcibly kissing footballer Jenni Hermoso on mouth after Spain's FIFA Women's World Cup 2023 victory. The suspension will be effective for an initial period of 90 days, pending disciplinary proceedings opened against Rubiales on Thursday, FIFA said. Hermoso had said that the incident ""left her in shock"".",Sports
I took it as gospel: Olonga as he apologises for sharing false news of Heath Streak’s death,"Ex-Zimbabwe pacer Henry Olonga has issued a public apology for sharing false news of ex-Zimbabwe captain Heath Streak's death. ""I heard the story first on Facebook like everyone else...I am extremely sorry that I took it as gospel,"" he added. “I of course profusely apologised to the Streaks after the clanger. They did not need this,"" he further said.",Sports
"RCB's Wanindu Hasaranga breaks down during sister's wedding, video goes viral","A video has gone viral showing RCB and Sri Lanka all-rounder Wanindu Hasaranga breaking down during his younger sister's wedding. In the video, he can be seen getting emotional and hugging his sister. Hasaranga recently won Lanka Premier League (LPL) 2023 with B-Love Kandy and ended the tournament as the highest run-getter and highest wicket-taker.",Sports
11 years since Unmukt Chand scored 111* to help India win U19 WC,India captain Unmukt Chand smashed 111* runs off 130 balls in U19 World Cup 2012 final to help the team defeat Australia by six wickets with today's date marking 11 years of the victory. He slammed six sixes and seven fours during his innings. Chand scored 246 runs in six games and was highest run-scorer for India in the tournament.,Sports
"Adam Milne takes 4 wickets in 10 balls, The Hundred shares video","Birmingham Phoenix pacer Adam Milne picked four wickets in 10 balls in their match against London Spirit in the 2023 edition of 'The Hundred'. He dismissed batters Zak Crawley, Michael Pepper, Matthew Wade and Daniel Lawrence. Milne conceded 20 runs in the 20 balls he bowled. Birmingham Phoenix had set a target of 186 runs. ",Sports
